node_1,node_2,in_original_network,inclusion_frequency,mean_partial_corr,std_partial_corr,ci_lower,ci_upper,sign_consistency
effectiveness/results,ingredients,True,1.0,0.051601604212972274,0.0015491626370929476,0.04857215627404958,0.05446175905915552,1.0
ingredients,smell/fragrance,True,1.0,0.05439469783827937,0.0014958115582016937,0.0512394153037678,0.05725244570070438,1.0
ingredients,texture/consistency,True,1.0,0.029524138151922143,0.0014738554127755204,0.026559549489894158,0.03229134552314345,1.0
ingredients,service/shipping,True,1.0,0.03100108925363311,0.0015555367179446158,0.027983634469298087,0.033967750048478976,1.0
ingredients,packaging,True,1.0,0.07756210417203949,0.0014229862576421457,0.07480765955701014,0.08019284253747419,1.0
packaging,price/value,True,1.0,0.06489930126145005,0.0015521807082100284,0.06181669558520758,0.06795759403985902,1.0
packaging,service/shipping,True,1.0,0.05476301162490039,0.001722543213765198,0.05123491271058857,0.05814448879433009,1.0
smell/fragrance,texture/consistency,True,1.0,0.026974722575840687,0.001890790353304068,0.023114835609055206,0.030575676500069367,1.0
price/value,service/shipping,True,1.0,0.037217348252693155,0.0019186700793522163,0.033416958256726054,0.04091390553510579,1.0
packaging,smell/fragrance,True,0.995,0.023096069960751024,0.0012581475974307915,0.020739923972944527,0.025447780839231392,1.0
packaging,texture/consistency,True,0.862,0.021522924655237596,0.0013920656005728155,0.01880648558751997,0.024038969923371123,1.0
effectiveness/results,packaging,False,0.175,0.01873421693324955,0.0013461607539955018,0.01606623314856789,0.021261033024381263,
effectiveness/results,texture/consistency,False,0.064,0.017235434236576124,0.0018812871591789005,0.013813337171457938,0.020978633417584252,
price/value,smell/fragrance,False,0.004,-0.016294266370107998,0.0014328460045259666,-0.01900019861421046,-0.0133578333030022,
effectiveness/results,smell/fragrance,False,0.0,0.005394400525350421,0.001437360508344066,0.002612974902491717,0.008180993335625164,
effectiveness/results,price/value,False,0.0,0.009821052432045216,0.0016148786477989297,0.00661649672444441,0.01317529627439364,
effectiveness/results,service/shipping,False,0.0,0.003579084887137678,0.0014864907203326453,0.0,0.006374396181559293,
ingredients,price/value,False,0.0,0.014431314725146189,0.0013820824702592297,0.011547820656248332,0.0170318419974376,
price/value,texture/consistency,False,0.0,0.003462257494414676,0.0015194722654805622,0.0,0.006398921775134436,
service/shipping,smell/fragrance,False,0.0,-0.0012204241479709303,0.0011927995212475885,-0.0036099259705319408,0.0,
service/shipping,texture/consistency,False,0.0,0.0001845955482841307,0.0006288398896492419,0.0,0.002082311545781707,
