model_name,spec,metric,mean,std
Linear,additive,RMSE,1.2144,
Linear,additive,Adj_R2,0.3351,
Linear,interaction,RMSE,1.2034,
Linear,interaction,Adj_R2,0.347,
Ordinal,additive,RPS,0.1314686662929238,0.00038957360139461737
Ordinal,additive,F1_MACRO,0.2621566601227924,0.0006382238035581642
Ordinal,interaction,RPS,0.1314458446335502,0.00040210233964107643
Ordinal,interaction,F1_MACRO,0.26227488694577733,0.0007499930280298974
Binary,additive,ACCURACY,0.7471882701935714,0.0007617234315456062
Binary,additive,ROC_AUC,0.7953781198879495,0.0007246118174691513
Binary,additive,F1,0.794367480799421,0.0007594273471579666
Binary,interaction,ACCURACY,0.7457478703690663,0.000672312560274662
Binary,interaction,ROC_AUC,0.7943394141552541,0.0006062499700276874
Binary,interaction,F1,0.7940392557657766,0.0007578197978454409
Binary_45,additive,ACCURACY,0.8113450011761204,0.0006397051875564313
Binary_45,additive,ROC_AUC,0.844390261551017,0.0005908391302661088
Binary_45,additive,F1,0.8731217605001333,0.0004887931225013209
Binary_45,interaction,ACCURACY,0.811317062434397,0.0005499263647636765
Binary_45,interaction,ROC_AUC,0.8445602686269851,0.0005881261454557908
Binary_45,interaction,F1,0.8729774892772925,0.00044742341700277114
