model_name,term,VIF
Additive,smell/fragrance_centered,1.0052113963134703
Additive,price/value_centered,1.0071202574347948
Additive,texture/consistency_centered,1.002991383939453
Additive,packaging_centered,1.0167677236793464
Additive,ingredients_centered,1.015729829915192
Additive,effectiveness/results_centered,1.0041407760199004
Additive,service/shipping_centered,1.0063944495576496
Interaction,smell/fragrance_centered,1.0129249647118368
Interaction,price/value_centered,1.0122009716355858
Interaction,texture/consistency_centered,1.0064705606790538
Interaction,packaging_centered,1.1064650950624215
Interaction,ingredients_centered,1.0515272315232034
Interaction,effectiveness/results_centered,1.007261717566483
Interaction,service/shipping_centered,1.0174268096943868
Interaction,int_smell_fragrance_texture_consistency,1.0288561747213947
Interaction,int_smell_fragrance_packaging,1.0743040436967486
Interaction,int_smell_fragrance_ingredients,1.049598613820099
Interaction,int_price_value_packaging,1.031841184675
Interaction,int_price_value_service_shipping,1.0281704112371923
Interaction,int_texture_consistency_packaging,1.0256027309243751
Interaction,int_texture_consistency_ingredients,1.041097552611689
Interaction,int_packaging_ingredients,1.1101385077772248
Interaction,int_packaging_service_shipping,1.0434314381825514
Interaction,int_ingredients_effectiveness_results,1.0095616541900982
Interaction,int_ingredients_service_shipping,1.0295878627887591
